id,opponentname,opponentflag,opponentscore,algeriascore,date,coachname,event
1,Tanzania,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_135.png,1,1,2011-09-03 00:00:00,Vahid Halilhodzic,Africa Cup of Nations Qualifying
2,Central African Republic,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_174.png,0,2,2011-10-09 00:00:00,Vahid Halilhodzic,Africa Cup of Nations Qualifying
3,Tunisia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_103.png,0,1,2011-11-12 00:00:00,Vahid Halilhodzic,International Friendly
4,Gambia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_198.png,1,2,2012-02-29 00:00:00,Vahid Halilhodzic,Africa Cup of Nations Qualifying
5,Niger,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_141.png,0,3,2012-05-26 00:00:00,Vahid Halilhodzic,International Friendly
6,Rwanda,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_138.png,0,4,2012-06-02 00:00:00,Vahid Halilhodzic,FIFA World Cup Qualifying - CAF
7,Mali,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_159.png,2,1,2012-06-06 00:00:00,Vahid Halilhodzic,FIFA World Cup Qualifying - CAF
8,Gambia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_198.png,1,4,2012-06-15 00:00:00,Vahid Halilhodzic,Africa Cup of Nations Qualifying
9,Libya,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_111.png,0,1,2012-09-09 00:00:00,Vahid Halilhodzic,Africa Cup of Nations Qualifying
10,Libya,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_111.png,0,2,2012-10-14 00:00:00,Vahid Halilhodzic,Africa Cup of Nations Qualifying
11,Bosnia And Herzegovina,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_73.png,1,0,2012-11-14 00:00:00,Vahid Halilhodzic,International Friendly
12,South Africa,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_137.png,0,0,2013-01-12 00:00:00,Vahid Halilhodzic,International Friendly
13,Tunisia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_103.png,1,0,2013-01-22 00:00:00,Vahid Halilhodzic,Africa Cup of Nations
14,Togo,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_184.png,2,0,2013-01-26 00:00:00,Vahid Halilhodzic,Africa Cup of Nations
15,Ivory Coast,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_132.png,2,2,2013-01-30 00:00:00,Vahid Halilhodzic,Africa Cup of Nations
16,Benin,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_170.png,1,3,2013-03-26 00:00:00,Vahid Halilhodzic,FIFA World Cup Qualifying - CAF
